,1,2,3,4,5,6,7,8,9
0.0,0.3089439006651672,0.5620967836846298,0.3666072180801607,0.5912746517648516,0.10949680827374442,0.4436740183322616,0.8235084222886527,0.25819881076882445,0.9898504082804267
0.9334355592204365,0.0,0.7096841366577593,0.42966995552435383,0.9871265766271513,0.1723090666747491,0.5990127120212003,0.6731937191486699,0.8603513627021989,0.1782517688312113
0.6144283228342805,0.12389434658394172,0.0,0.8753441887066262,0.6955459640408614,0.9150545953335834,0.03968702151601877,0.7342339334980289,0.10515416475614503,0.21454214164483987
0.3097277467129549,0.46101072719361336,0.3130521526355905,0.0,0.5108116348871239,0.025091879566009667,0.10574055022949624,0.8709437021716098,0.31713598670476706,0.3355918280740414
0.6089540017777115,0.7504861838280376,0.04298389642318923,0.0038215428233417947,0.0,0.3422775603725381,0.05611954321272372,0.3145160657468473,0.18924314683314114,0.07400996741516985
0.8040071546836671,0.3830492532872364,0.9240053224240683,0.7252958940253833,0.6327770413814139,0.0,0.4276814020276538,0.30938434633180656,0.3867641758588828,0.19053214143533026
0.46362583225832643,0.11948122551274487,0.25423770450063865,0.8852955404788669,0.546177888330239,0.5156994156852874,0.0,0.32034974376875613,0.4758836454312486,0.23165532726074622
0.17633432435497132,0.08355210557702208,0.31530326503173933,0.4637320498755694,0.19494831426345216,0.7312413372438655,0.9590339824441434,0.0,0.09855946767472634,0.16142763853157094
0.12197257482257096,0.4455234031592644,0.44963708195478225,0.6981621149824074,0.32715598532670265,0.5179029321492549,0.5334641565395881,0.9838791117230744,0.0,0.8092114228947563
0.2995946295350632,0.8107032110329683,0.29185732363008465,0.7834868999071095,0.12051953328623266,0.1613958063875185,0.2657034544119161,0.9673557710271552,0.7316292863318006,0.0
